advertised_rent,posted_to_website,posted_to_internet,property,property_name,amenities,lockbox_enabled,affordable_program,address,street,street2,city,state,zip,unit,unit_tags,unit_type,bed_and_bath,sqft,unit_status,rent_ready,days_vacant,last_rent,schd_rent,new_rent,last_move_in,last_move_out,available_on,next_move_in,description,amenities_price,computed_market_rent,ready_for_showing_on,unit_turn_target_date,property_id,unit_id,contact
1950,No,No,"1704 Gulin Street - 1704 Gulin Street Royse City, TX 75189",1704 Gulin Street,,No,,"1704 Gulin Street Royse City, TX 75189",1704 Gulin Street,,Royse City,TX,75189,1704 Gulin Street,,,4/2.00,2010,Vacant-Unrented,No,32,1950,1950,,2026-03-15,2026-05-12,2026-05-22,,,0,1950,2026-05-22,2026-05-22,1990,1756,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
1995,No,No,"171 Seabiscuit Drive, Caddo Mills, Texas 75135 (City and HOA Reg must) - 171 Seabiscuit Drive Caddo Mills, TX 75135","171 Seabiscuit Drive, Caddo Mills, Texas 75135 (City and HOA Reg must)",,No,,"171 Seabiscuit Drive Caddo Mills, TX 75135",171 Seabiscuit Drive,,Caddo Mills,TX,75135,"171 Seabiscuit Drive, Caddo Mills, Texas 75135 (City and HOA Reg must)",,,4/3.00,2097,Vacant-Unrented,No,225,1995,1995,,2024-07-06,2025-10-31,2025-11-10,,"Currently occupied with tenants. Please call or text to (Raj Shah:âª(972) 591-1060â¬) for  schedule a showing. He will arrange a showing. If they don't allow it, it will be available only after a tenant moves out. If you have an agent you can schedule the appointment with Broker Bay (800 257-1242)

This lovely home offers 4 bedrooms, 3 full bathrooms with a study! Extremely open floorplan with luxury vinyl flooring throughout main areas. Spacious eat-in kitchen boasts oversized island, granite counters and stainless appliances, fridge to stay with home. Large dining area, perfect for the holidays! Living area is warm and welcoming, making it easy to cozy up of an evening! Primary bedroom with ensuite offers separate shower and spacious walk in closet. This home offers stone flowerbeds and full irrigation. Backyard has covered back patio and plenty of space to catch sun rays! This community is equipped with walking and biking trails, swimming pool and playground!

- Home is available on 07/07/2024
- Pets are welcome ($600 non-refundable per pet)
- Need to bring Refrigerator, washer and Dryer.
- HOA is paid by owners.
- No Housing voucher sec 8 accepted
- Longer lease is preferred
- $50 per adult application fee
- Apply at vprealtyservices.com
- Application has to be online only at VP Realty, No Tar applications
- Mention your broker name and number in online application if applicable

If you don't see home on VP Realty website then it means it is leased.

Questions for this home:
Call Yash borad : (972) 591-1017 or Email: yash@vprealtyservices.com
Leasing Number: +1 (214) 597-0294

This is the link for the application process and qualification criteria
https://tinyurl.com/ycksezpk",0,1995,2025-11-10,2025-11-10,1548,1316,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2995,No,No,"1726 Cherub Cheer Row Wylie, TX 75098","1726 Cherub Cheer Row Wylie, TX 75098",,No,,"1726 Cherub Cheer Row Wylie, TX 75098",1726 Cherub Cheer Row,,Wylie,TX,75098,1726 Cherub Cheer Row,,,4/2.50,3382,Vacant-Unrented,Yes,0,,2995,,,,2025-11-01,,,0,2995,2025-08-25,,1950,1716,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2845,Yes,Yes,"1728 Heron Way, Argyle, Texas 76226 - 1728 Heron Way Argyle, TX 76226","1728 Heron Way, Argyle, Texas 76226",,Yes,,"1728 Heron Way Argyle, TX 76226",1728 Heron Way,,Argyle,TX,76226,"1728 Heron Way, Argyle, Texas 76226",,,5/3,2799,Vacant-Rented,Yes,38,,2845,,,,2026-05-07,2026-06-25,,0,2845,2026-05-07,,2061,"Joshi, Anjali",Mounika Toodi: mounika@vprealtyservices.com: 903-776-4492 (#5)
3495,No,No,"1736 Hickory Chase circle Keller, TX 76248","1736 Hickory Chase circle Keller, TX 76248",,No,,"1736 Hickory Chase circle Keller, TX 76248",1736 Hickory Chase circle,,Keller,TX,76248,1736 Hickory Chase circle,,,4/3.00,6625,Vacant-Unrented,No,74,3739.65,3495,,2024-08-05,2026-03-31,2026-04-10,,"Go and see the house, the house is vacant. The code is 1975.

Coffee on the front porch is a great way to start your day. This home boasts a great floor plan and a culdesac location. The large kitchen will quickly become one of the favorite rooms in the house with the upgraded cabinets and appliances. The media room with the included media equipment and wall-to-wall screen might give the kitchen a run for it's money for the popular vote. Add in the game room, covered patio, central vacuum, and extensive upgrades, large master suite with custom closet system.

- Home is available Immediately 
- Pets are welcome ($600 refundable per pet).
- HOA is paid by owners.
- Tenant needs to bring Washer-Dryer-Refrigerator.
- No housing vouchers (We have no properties which accept vouchers), no Section 8
- longer lease is preferred
- $55 per adult application fee.
- Apply at vprealtyservices.com

If you don't see home on VP Realty website then it means it is leased.
Text 214 597 0294 or leave VM for a live agent

This is the link for the application process:
https://tinyurl.com/y3a97pmc  ",0,3495,2026-04-10,2026-04-10,280,307,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
1595,No,No,"1810 Clegg Howe, TX 75459","1810 Clegg Howe, TX 75459",,No,,"1810 Clegg Howe, TX 75459",1810 Clegg,,Howe,TX,75459,1810 Clegg,,,4/3.00,2085,Vacant-Rented,Yes,0,,1595,,,,2026-03-31,2026-06-15,"This home is a must see! Home is available immediately. Pets are welcome and considered case by case ($600 refundable per pet). HOA is paid by owners. Need to bring Washer-Dryer-Refrigerator. No housing vouchers, no section 8. Mention your broker name and number in online application if applicable. Qualifying criteria Deposit determined by Credit Score. $51 per adult application fee. This lovely 4 bedroom home features a large family room with lots of light. The fully equipped kitchen showcases new, energy-efficient kitchen appliances (including refrigerator), Custom Kitchen Cabinets, and stunning curb-side appeal. The spacious master suite features a large walk-in closet, garden tub and separate walk-in shower. Our Other available Properties.
tinyurl.com/vpleaseav",0,1595,2026-03-31,,2044,1809,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2195,No,No,"1821 Forsythe Drive Savannah, TX 76227","1821 Forsythe Drive Savannah, TX 76227",,No,,"1821 Forsythe Drive Savannah, TX 76227",1821 Forsythe Drive,,Savannah,TX,76227,1821 Forsythe Drive,,,4/2.50,2420,Vacant-Unrented,No,348,2195,2195,,2024-08-15,2025-06-30,2025-07-10,,,0,2195,2025-07-10,2025-07-10,1430,1198,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2550,No,No,"1828 Mercer Way Savannah, TX 76227","1828 Mercer Way Savannah, TX 76227",,No,,"1828 Mercer Way Savannah, TX 76227",1828 Mercer Way,,Savannah,TX,76227,1828 Mercer Way,,,4/3.00,2530,Vacant-Unrented,No,409,2250,2550,,2024-02-01,2025-04-30,2025-06-20,,,0,2550,2025-05-10,2025-05-10,1428,1196,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
1195,Yes,Yes,"18333 Roehampton Drive Unit#825 Dallas, TX 75252","18333 Roehampton Drive Unit#825 Dallas, TX 75252",,No,,"18333 Roehampton Drive Unit#825 Dallas, TX 75252",18333 Roehampton Drive,Unit#825,Dallas,TX,75252,18333 Roehampton Drive,,,1/1,584,Vacant-Unrented,Yes,16,,1195,,,,2026-06-01,,,0,1195,2026-05-29,,2067,"Jain, Davender",Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075 (#11)
1995,No,Yes,"1904 Clark Street Anna, TX 75409","1904 Clark Street Anna, TX 75409",,No,,"1904 Clark Street Anna, TX 75409",1904 Clark Street,,Anna,TX,75409,1904 Clark Street,,,4/2.00,1657,Vacant-Unrented,Yes,0,,1995,,,,2026-06-01,,,0,1995,2026-05-26,,2066,1830,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2150,Yes,Yes,"1908 Marquette rd Princeton, TX 75407","1908 Marquette rd Princeton, TX 75407",,Yes,,"1908 Marquette rd Princeton, TX 75407",1908 Marquette rd,,Princeton,TX,75407,1908 Marquette rd,,,5/3,2609,Vacant-Unrented,Yes,16,1995,2150,,2025-01-06,2026-05-14,2026-05-28,,,0,2150,2026-05-29,2026-05-24,542,"Shah, Akhil",Jeel Hemrajani: jeel@vprealtyservices.com: 903-776-4548 (#7)
1795,No,No,"201 Ardsley Lane Princeton, TX 75407","201 Ardsley Lane Princeton, TX 75407",,No,,"201 Ardsley Lane Princeton, TX 75407",201 Ardsley Lane,,Princeton,TX,75407,201 Ardsley Lane,,,3/2.00,1442,Vacant-Unrented,Yes,13,1921,1795,,2024-08-01,2026-05-31,2026-06-10,,,0,1795,2026-06-10,2026-06-10,1697,1465,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
1795,No,No,"2016 Highland Dr Wylie TX - 2016 Highland Dr Wylie, TX 75098",2016 Highland Dr Wylie TX,Community Pool,No,,"2016 Highland Dr Wylie, TX 75098",2016 Highland Dr,,Wylie,TX,75098,2016 Highland Dr Wylie TX,,,3/2.00,2110,Vacant-Unrented,No,225,2350,1795,,2018-08-26,2025-10-31,2025-11-10,,"Beautiful 3 beds, 2 baths, 1 dining, 1 living room. BRAND NEW CARPETS. Extremely clean and well maintained. Game room (between the 2nd and 3rd room) could be used as a study or another bed. Gourmet kitchen with island opens to family room. Off the breakfast area is an attractive screened sunroom equipped with ceiling fan! Community swimming pools. Garage door opener entry pad. New carpets and roof with spray-on radiant barrier! Newer gas water heater!",0,1795,2025-11-10,2025-11-10,5,59,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
1795,No,No,"2021 Meadow Park Dr - 2021 Meadow Park Dr Princeton, TX 75407",2021 Meadow Park Dr,,No,,"2021 Meadow Park Dr Princeton, TX 75407",2021 Meadow Park Dr,,Princeton,TX,75407,2021 Meadow Park Dr,,,4/2.00,1721,Notice-Unrented,No,,1695,1795,,2024-11-01,2026-06-24,2026-06-30,,,0,1795,2026-06-10,2026-07-04,1374,1142,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
1850,No,No,"2028 Uvalde Dr Forney, TX 75126   (City and HOA Reg must) - 2028 Uvalde Dr Forney, TX 75126","2028 Uvalde Dr Forney, TX 75126   (City and HOA Reg must)",,No,,"2028 Uvalde Dr Forney, TX 75126",2028 Uvalde Dr,,Forney,TX,75126,"2028 Uvalde Dr Forney, TX 75126   (City and HOA Reg must)",,,3/2.00,1703,Vacant-Unrented,No,317,2100,1850,,2021-05-01,2025-07-31,2025-08-10,,"Go and show, No Appointment needed. Vacant house. The code is PLAN,
You can call 817-874-3536 or 214-493-2948 if you can't find the key.

Newly updated home with fresh paint and granite in Travis Ranch. Open floor plan with spacious kitchen, master retreat, walk-in closets and large fenced in backyard with covered patio. Community features include greenbelts, playgrounds, pool and much more! Forney ISD. Conveniently located near HWY 80 and Lake Ray Hubbard.
- Home is available from April 14th
- Pets are welcome ($450 refundable per pet).
- HOA is paid by owners.
- Tenant needs to bring Washer-Dryer-Refrigerator.
- $55 per adult application fee.
- Apply at vprealtyservices.com

If you don't see home on VP Realty website then it means it is leased.
Text 214 597 0294 or leave VM for a live agent

This is the link for the application process:
https://tinyurl.com/y3a97pmc  
",0,1850,2025-08-10,2025-08-10,396,570,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2195,No,No,"205 Adelina Drive Little Elm, TX 75068 (City and HOA Reg Must) - 205 Adelina Drive Little Elm, TX 75068","205 Adelina Drive Little Elm, TX 75068 (City and HOA Reg Must)",,No,,"205 Adelina Drive Little Elm, TX 75068",205 Adelina Drive,,Little Elm,TX,75068,"205 Adelina Drive Little Elm, TX 75068 (City and HOA Reg Must)",,,4/2.50,1880,Vacant-Unrented,Yes,14,2195,2195,,2025-04-15,2026-05-30,2026-06-09,,"Anjali, anjali@vprealtyservices.com, 972-591-8075
https://www.vprealtyservices.com/listings/detail/50e2f894-1043-4d96-83e0-d4da7cd46315",0,2195,2026-04-16,2026-06-09,1863,1629,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2345,No,No,"2059 LA SALLE TRL Grand Prairie, TX 75052","2059 LA SALLE TRL Grand Prairie, TX 75052",,No,,"2059 LA SALLE TRL Grand Prairie, TX 75052",2059 LA SALLE TRL,,Grand Prairie,TX,75052,2059 LA SALLE TRL,,,3/2.00,2002,Vacant-Unrented,No,45,2345,2345,,2025-05-10,2026-04-29,2026-05-09,,"Go and see, the home is vacant. Please keep the key from where it has been taken to see the house. If you have an agent you can schedule the appointment with Broker Bay (800 257-1242). Trespassing is a crime and you are under surveillance. Any mischief will result in reporting to higherÂ authorities.
",0,2345,2026-05-09,2026-05-09,1869,1635,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
1995,Yes,Yes,"208 Alice spring (City and HOA Reg must) - 208 Alice spring Caddo Mills, TX 75135",208 Alice spring (City and HOA Reg must),,No,,"208 Alice spring Caddo Mills, TX 75135",208 Alice spring,,Caddo Mills,TX,75135,208 Alice spring (City and HOA Reg must),,,4/3,2118,Notice-Unrented,Yes,9,2095,1995,,2025-06-01,2026-06-30,2026-07-10,,,0,1995,2026-06-05,2026-07-10,1883,"Gajulapalle, Bhanu chander",Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075 (#11)
1995,Yes,Yes,"2117 Croton Avenue Royse City, TX 75189","2117 Croton Avenue Royse City, TX 75189",,No,,"2117 Croton Avenue Royse City, TX 75189",2117 Croton Avenue,,Royse City,TX,75189,2117 Croton Avenue,,,4/2,1706,Notice-Unrented,Yes,13,2395,1995,,2023-10-01,2026-07-10,2026-07-17,,,0,1995,2026-06-01,2026-07-20,1568,"Muthusamy, Marimuthu",Husna  Siddiqui: husna@vprealtyservices.com: 903-751-5965 (#5)
1795,Yes,Yes,"2134 Donker Drive - 2134 Donker Drive Royse City, TX 75189",2134 Donker Drive,,Yes,,"2134 Donker Drive Royse City, TX 75189",2134 Donker Drive,,Royse City,TX,75189,2134 Donker Drive,,,4/2,1838,Vacant-Unrented,Yes,46,2045,1795,,2024-03-20,2026-05-31,2026-06-06,,,0,1795,2026-04-29,2026-06-10,1625,"Kamalakshya, Tiknadhi",Niharika Arroju: niharika@vprealtyservices.com:  (#1)
1850,Yes,Yes,"2151 Lost timber dr(No Maintenance) - 2151 Lost Timber Dr Conroe, TX 77304",2151 Lost timber dr(No Maintenance),,No,,"2151 Lost Timber Dr Conroe, TX 77304",2151 Lost Timber Dr,,Conroe,TX,77304,2151 Lost timber dr(No Maintenance),,,3/2,1610,Vacant-Unrented,Yes,11,1850,1850,,2024-09-15,2026-05-31,2026-06-03,,,0,1850,2026-06-03,2026-06-10,505,"Shah, Milan",Uzma Urooj: uzma@vprealtyservices.com: 972-591-8905 (#8)
1945,No,No,"221 Longhorn Pass (City and HOA Reg must) - 221 Longhorn Pass Caddo Mills, TX 75135",221 Longhorn Pass (City and HOA Reg must),,No,,"221 Longhorn Pass Caddo Mills, TX 75135",221 Longhorn Pass,,Caddo Mills,TX,75135,221 Longhorn Pass (City and HOA Reg must),,,4/2.00,2014,Vacant-Unrented,No,33,1945,1945,,2024-10-20,2026-05-11,2026-05-21,,,0,1945,2026-05-21,2026-05-21,1764,1531,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
1995,Yes,Yes,"2220 Pommel Lane Aubrey, TX 76227","2220 Pommel Lane Aubrey, TX 76227",,No,,"2220 Pommel Lane Aubrey, TX 76227",2220 Pommel Lane,,Aubrey,TX,76227,2220 Pommel Lane,,,4/2,2062,Vacant-Rented,Yes,21,,1995,,,,2026-05-24,2026-07-01,,0,1995,2026-05-24,,2064,Venkat Tekkalur,Heena Patel: heena@vprealtyservices.com: 972-591-8102 (#2)
2195,No,No,"2315 Leona Street Forney, TX 75126","2315 Leona Street Forney, TX 75126",,No,,"2315 Leona Street Forney, TX 75126",2315 Leona Street,,Forney,TX,75126,2315 Leona Street,,,4/2.00,1944,Vacant-Unrented,No,620,2195,2195,,2024-06-05,2024-10-01,2024-10-11,,"Currently occupied with the tenant (Brenda Morais - (214) 207-0552). Please call or text our current residents to schedule a showing. They will allow scheduling a showing. If they don't allow then it will be available for showing only after the tenant moves or you can reach out to Sana at (972) 591-8587 or E-mail Sana@vprealtyservices.com.  If you have an agent, use Broker Bay (800 257-1242) for the showing.

This home is everything you could want for your family. Centrally located allows access to HWY 20 or HWY 80. You are close to everything in this beautifully landscaped 4-bedroom, 2-bathroom home. Located in the desirable Vintage Meadows community, the home features an open floor plan and, a spacious backyard. The community amenities include a pool, pond, and walking or jogging trail.

- The home will be available on May 1st, 2024
- Homeowners' Association (HOA) fees are covered by the owners
- Tenants Need to bring Washer-Dryer-Refrigerator 
- No housing vouchers or Section 8
- Application fee of $65 per adult
- Apply online at vprealtyservices.com (No TAR applications)
- Please mention your broker's name and number in the online application if applicable

(PET POLICY):
- Pets are welcome. The pet deposit is $600 for each pet, and it is refundable.

(REQUIREMENT):
- The Credit requirement is on a case-by-case basis. If the credit scores are lower then more deposits may be needed
- Rental history, income, background, and credit history will be verified
- Monthly income must be at least 3 times the monthly rent.

(DEPOSIT):
- The deposit is a minimum of one month's rent, subject to case-by-case evaluation and credit assessment.
- Qualification in the slides below

Please note: If the home is not listed on the VP Realty website, it means it has been leased.
For further inquiries or to schedule a viewing, please text 214-597-0294 or leave a voicemail for a live agent.

Questions for this home:
Call Sana Saiyed: +1 (972) 591-8587 or Email: sana@vprealtyservices.com
Leasing Number: +1 (214) 597-0294

To begin the application process and review the qualification criteria, please visit the following link:
https://tinyurl.com/ycksezpk

Don't miss out on this incredible opportunity to secure this beautiful new home. Apply now and make it yours!",0,2195,2024-10-11,2024-10-11,1549,1317,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2550,No,No,"2336 Boatman Dr Little Elm, TX 75068 (City and HOA Reg Must) - 2336 Boatman Dr Little Elm, TX 75068","2336 Boatman Dr Little Elm, TX 75068 (City and HOA Reg Must)",,No,,"2336 Boatman Dr Little Elm, TX 75068",2336 Boatman Dr,,Little Elm,TX,75068,"2336 Boatman Dr Little Elm, TX 75068 (City and HOA Reg Must)",,,3/2.00,2121,Notice-Rented,Yes,,2795,2550,2550,2023-12-15,2026-06-29,,2026-07-01,,0,2550,2026-05-15,2026-07-09,1591,1359,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2150,No,No,"234 Silvercreek Dr - 234 Silvercreek Dr, Wylie, TX 75098",234 Silvercreek Dr,"Jogging Path/Bike Path, Park, tennis court",Yes,,"234 Silvercreek Dr, Wylie, TX 75098","234 Silvercreek Dr,",,Wylie,TX,75098,234 Silvercreek Dr,,,3/2.00,1701,Vacant-Unrented,No,44,2375,2150,,2022-11-01,2026-04-30,2026-05-10,,"Please text at this number (214) 597-0294 to schedule a showing.

Don't miss your chance on this beautifully crafted corner home in a quiet Wylie neighborhood! The interior features a normal dining area, a large living room, high ceilings, and a fireplace.

The large master bedroom is perfect for couples with dual sinks and a sizable walk-in closet. But don't overlook spacious spare bedrooms or the newly fenced back yard and the expansive patio. Eat in the open kitchen and talk a short walk to the nearby community park. With desirable schools nearby, shopping complexes, and highways, the opportunities here are endless! 

- Home is available immediately.
- Pets are welcome ($500 refundable per pet)
- HOA is paid by owners.
- No housing vouchers, no section 8
- Longer lease is preferred
- $55 per adult application fee.
- At move in, tenant pays one-time admin fee of $150
- Apply at vprealtyservices.com
- Application has to be online only at VP Realty, No Tar applications
- Mention your broker name and number in online application if applicable

If you don't see home on VP Realty website then it means it is leased.
Text 214 597 0294 or leave VM for a live agent

This is the link for the application process and qualification criteria
https://tinyurl.com/ycksezpk
",0,2150,2026-05-10,2026-05-10,1353,1121,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
3150,No,No,"2404 Heather Glen Drive Plano, TX 75025","2404 Heather Glen Drive Plano, TX 75025",,Yes,,"2404 Heather Glen Drive Plano, TX 75025",2404 Heather Glen Drive,,Plano,TX,75025,2404 Heather Glen Drive,,,4/2.50,3016,Vacant-Rented,Yes,1,2950,3150,3150,2025-10-02,2026-06-12,,2026-06-20,,0,3150,2026-05-16,2026-06-22,1945,1711,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2495,Yes,Yes,"2425 Ravenhurst Drive Plano, TX 75025-4751","2425 Ravenhurst Drive Plano, TX 75025-4751",,No,,"2425 Ravenhurst Drive Plano, TX 75025-4751",2425 Ravenhurst Drive,,Plano,TX,75025-4751,2425 Ravenhurst Drive,,,3/2,2073,Notice-Rented,No,11,2700,2495,,2024-06-25,2026-06-30,2026-07-06,2026-07-18,,0,2495,2026-06-03,2026-07-10,301,"Bhatia (VS approval required), Imreet",Viswa Reddy: viswa@vprealtyservices.com: 972-591-1006 (#1)
2695,Yes,Yes,"2448 Loch Haven Frisco, TX 75034   (HOA Reg Must) - 2448 Loch Haven Frisco, TX 75036","2448 Loch Haven Frisco, TX 75034   (HOA Reg Must)",,No,,"2448 Loch Haven Frisco, TX 75036",2448 Loch Haven,,Frisco,TX,75036,"2448 Loch Haven Frisco, TX 75034   (HOA Reg Must)",,,3/2,2370,Notice-Unrented,Yes,20,2795,2695,,1970-01-01,2026-06-30,2026-07-05,,,0,2695,2026-05-25,2026-07-10,30,Yatrik Munshi,Jay Rupareliya: jay_r@vprealtyservices.com: 903-213-5286 (#2)
1995,Yes,Yes,"2544 Saldana Drive Fate, TX 75189","2544 Saldana Drive Fate, TX 75189",,Yes,,"2544 Saldana Drive Fate, TX 75189",2544 Saldana Drive,,Fate,TX,75189,2544 Saldana Drive,(Limited Maintenance) Ask owner before addressing issue.,,4/2,1923,Vacant-Rented,No,64,1695,1995,,2025-01-04,2026-04-01,2026-04-11,2026-06-20,,0,1995,2026-04-11,2026-04-11,1782,"Palanivelu, Krishnaveni",Jeel Hemrajani: jeel@vprealtyservices.com: 903-776-4548 (#7)
3750,Yes,Yes,"263 Timber Creek Lane Frisco, TX 75033","263 Timber Creek Lane Frisco, TX 75033",,Yes,,"263 Timber Creek Lane Frisco, TX 75033",263 Timber Creek Lane,,Frisco,TX,75033,263 Timber Creek Lane,,,5/4,4000,Vacant-Unrented,Yes,59,3745,3750,,2024-06-01,2026-05-31,2026-06-07,,,0,3750,2026-04-16,2026-06-10,1672,"Reddy, Mahipal",Nishant Nanani: nishant@vprealtyservices.com: 903-213-3818 (#6)
3495,Yes,Yes,"2722 Eastridge Boulevard, Princeton, Texas 75407 - 2722 Eastridge Boulevard, Princeton, Texas 75407 Princeton, TX 75407","2722 Eastridge Boulevard, Princeton, Texas 75407",,Yes,,"2722 Eastridge Boulevard, Princeton, Texas 75407 Princeton, TX 75407","2722 Eastridge Boulevard, Princeton, Texas 75407",,Princeton,TX,75407,"2722 Eastridge Boulevard, Princeton, Texas 75407",,,5/3,2785,Vacant-Unrented,Yes,55,,3495,,,,2026-04-20,,,0,3495,2026-04-20,,2054,"Hemal Doshi, Nia Doshi,",Sana Saiyed: sana@vprealtyservices.com: 903-225-9627 (#5)
,No,No,"2728 Gooseberry Drive Plano, TX 75074","2728 Gooseberry Drive Plano, TX 75074",,No,,"2728 Gooseberry Drive Plano, TX 75074",2728 Gooseberry Drive,,Plano,TX,75074,2728 Gooseberry Drive,,,,,Vacant-Unrented,No,253,2700,,,2024-11-01,2025-10-03,2025-10-13,,,0,,2025-10-13,2025-10-13,1769,1536,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2395,No,No,"2821 Briargrove McKinney, TX 75071   (City and HOA Reg must) - 2821 Briargrove McKinney, TX 75071","2821 Briargrove McKinney, TX 75071   (City and HOA Reg must)",,No,,"2821 Briargrove McKinney, TX 75071",2821 Briargrove,,McKinney,TX,75071,"2821 Briargrove McKinney, TX 75071   (City and HOA Reg must)",,,4/2.50,2354,Vacant-Unrented,Yes,13,2395,2395,,2024-06-10,2026-05-31,2026-06-10,,"The house is currently occupied with tenants. Home is available from 5th June,2026. If you have an agent you can schedule the appointment with Broker Bay (800 257-1242). Trespassing is a crime and you are under surveillance. Any mischief will result in reporting to higher authorities. For any further queries call or text at (jay_r@vprealtyservices.com) ; +1 (903)213-5286

This stunning home in highly sought-after McKinney offers the perfect blend of modern upgrades and timeless charm. Recently refreshed with fresh interior paint and new carpeting, the home exudes a crisp, move-in-ready appeal. The beautifully upgraded gourmet kitchen is a true centerpiece, featuring elegant granite countertops, a stylish stone backsplash, and sleek stainless steel appliancesâideal for both everyday living and entertaining. Step outside to an expansive backyard retreat, complete with a charming arbor-covered wood patio and a recently replaced fence, creating a private and inviting space for relaxation or gatherings. Additional recent upgrades include a Nest thermostat, a new water heater, a smart garage door opener, a recently replaced roof, and full gutter installationâoffering both comfort and peace of mind. Perfectly situated with convenient access to Hwy 380 and US 75, this home provides seamless connectivity to the entire Metroplex, making it an exceptional choice for both lifestyle and location.

Checkout our other available Properties at tinyurl.com/vpleaseav

Apply at Zillow.com or at VP Realty website. The application fee is $65 per applicant. 
-Upload the Photo Id, Proof of income, and Bank statements. 
-Kindly Email at Viren.Shah@VPRealtyServices.com .

-The house is available from 5th June,2026.
-Homeowners' Association (HOA) fees are covered by the owners. 
-Tenants Need to bring Washer-Dryer-Refrigerator. 
-No housing vouchers or Section 8. 
-Apply online at vprealtyservices.com (No TAR applications). 
-Kindly, mention your broker's name and contact number in the online application if applicable.

(PET POLICY)
-Pets are welcome. The pet deposit is $600 for each pet, and it is refundable.

(REQUIREMENT)
-The Credit requirement is on a case-by-case basis. If the credit scores are lower then more deposits may be needed. 
-Rental history, income, background, and credit history will be verified. 
-Monthly income must be at least 3 times the monthly rent. 

(DEPOSIT)
-The deposit is a minimum of one month's rent, subject to case-by-case evaluation and credit assessment.

Please note: If the home is not listed on the VP Realty website, it means it has been leased.
For further inquiries or to schedule a viewing, please text 214-597-0294 or leave a voicemail for a live agent.
To begin the application process and review the qualification criteria, please visit the following link:
https://tinyurl.com/ycksezpk
Don't miss out on this incredible opportunity to secure this beautiful new home. Apply now and make it yours!",0,2395,2026-04-20,2026-06-10,180,203,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2150,No,No,"2825 Dawn Spring Little Elm, TX 75068  (City and HOA Reg Must) - 2825 Dawn Spring Little Elm, TX 75068","2825 Dawn Spring Little Elm, TX 75068  (City and HOA Reg Must)",,No,,"2825 Dawn Spring Little Elm, TX 75068",2825 Dawn Spring,,Little Elm,TX,75068,"2825 Dawn Spring Little Elm, TX 75068  (City and HOA Reg Must)",,,4/2.00,1980,Vacant-Rented,Yes,13,2295,2150,2150,2024-06-06,2026-05-31,,2026-06-25,,0,2150,2026-04-25,2026-06-10,400,574,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2150,No,No,"2853 Mesquite Road Fort Worth, TX 76111","2853 Mesquite Road Fort Worth, TX 76111",,No,,"2853 Mesquite Road Fort Worth, TX 76111",2853 Mesquite Road,,Fort Worth,TX,76111,2853 Mesquite Road,,,4/2.00,1659,Vacant-Unrented,Yes,246,2135,2150,,2021-11-01,2025-10-10,2025-10-13,,,0,2150,2025-10-20,2025-10-20,496,812,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
3195,Yes,Yes,"2905 Preston Lane Wylie, TX 75098","2905 Preston Lane Wylie, TX 75098",,No,,"2905 Preston Lane Wylie, TX 75098",2905 Preston Lane,,Wylie,TX,75098,2905 Preston Lane,,,5/3.50,3300,Vacant-Unrented,Yes,4,2725,3195,,2024-12-01,2026-05-31,2026-06-08,,,0,3195,2026-06-10,2026-06-10,1783,"Verma, Hitendra",Uzma Urooj: uzma@vprealtyservices.com: 972-591-8905 (#8)
2750,No,No,"2912 Lake Terrace - 2912 Lake Terrace Wylie, TX 75098",2912 Lake Terrace,,No,,"2912 Lake Terrace Wylie, TX 75098",2912 Lake Terrace,,Wylie,TX,75098,2912 Lake Terrace,,,5/3.00,3611,Notice-Rented,No,,2778.5,2750,,2023-09-01,2026-06-29,2026-07-06,2026-07-15,,0,2750,2026-06-02,2026-07-09,113,85,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
